accident_year,speed_limit,road_surface_conditions,weather_conditions,urban_or_rural_area,accident_severity,accident_count
2020,30,Wet/Damp,Unknown,Urban,Fatal,1
2015,20,Dry,Fine with high winds,Rural,Serious,1
2015,20,Dry,Fine with high winds,Urban,Serious,1
2016,20,Dry,Fine with high winds,Urban,Serious,1
2017,20,Dry,Fine with high winds,Rural,Serious,2
2017,20,Dry,Fine with high winds,Urban,Serious,4
2018,20,Dry,Fine with high winds,Rural,Serious,9
2018,20,Dry,Fine with high winds,Urban,Serious,12
2019,20,Dry,Fine with high winds,Rural,Serious,5
2019,20,Dry,Fine with high winds,Urban,Serious,8
2020,20,Dry,Fine with high winds,Rural,Serious,4
2020,20,Dry,Fine with high winds,Urban,Serious,5
2021,20,Dry,Fine with high winds,Rural,Serious,8
2021,20,Dry,Fine with high winds,Urban,Serious,10
2022,20,Dry,Fine with high winds,Rural,Serious,4
2022,20,Dry,Fine with high winds,Urban,Serious,10
2023,20,Dry,Fine with high winds,Rural,Serious,1
2023,20,Dry,Fine with high winds,Urban,Serious,1
2014,30,Dry,Fine with high winds,Rural,Serious,6
2014,30,Dry,Fine with high winds,Urban,Serious,9
2015,30,Dry,Fine with high winds,Rural,Serious,14
2015,30,Dry,Fine with high winds,Urban,Serious,16
2016,30,Dry,Fine with high winds,Rural,Serious,2
2016,30,Dry,Fine with high winds,Urban,Serious,2
2017,30,Dry,Fine with high winds,Rural,Serious,11
2017,30,Dry,Fine with high winds,Urban,Serious,12
2018,30,Dry,Fine with high winds,Rural,Serious,19
2018,30,Dry,Fine with high winds,Urban,Serious,22
2019,30,Dry,Fine with high winds,Rural,Serious,12
2019,30,Dry,Fine with high winds,Urban,Serious,16
2020,30,Dry,Fine with high winds,Rural,Serious,8
2020,30,Dry,Fine with high winds,Urban,Serious,12
2021,30,Dry,Fine with high winds,Rural,Serious,17
2021,30,Dry,Fine with high winds,Urban,Serious,19
2022,30,Dry,Fine with high winds,Rural,Serious,13
2022,30,Dry,Fine with high winds,Urban,Serious,15
2023,30,Dry,Fine with high winds,Rural,Serious,8
2023,30,Dry,Fine with high winds,Urban,Serious,10
2016,40,Dry,Fine with high winds,Rural,Serious,1
2016,40,Dry,Fine with high winds,Urban,Serious,1
2019,40,Dry,Fine with high winds,Rural,Serious,2
2019,40,Dry,Fine with high winds,Urban,Serious,2
2020,40,Dry,Fine with high winds,Rural,Serious,1
2020,40,Dry,Fine with high winds,Urban,Serious,1
2021,40,Dry,Fine with high winds,Rural,Serious,2
2021,40,Dry,Fine with high winds,Urban,Serious,2
2017,50,Dry,Fine with high winds,Rural,Serious,4
2017,50,Dry,Fine with high winds,Urban,Serious,4
2019,50,Dry,Fine with high winds,Rural,Serious,1
2019,50,Dry,Fine with high winds,Urban,Serious,1
2022,50,Dry,Fine with high winds,Rural,Serious,1
2022,50,Dry,Fine with high winds,Urban,Serious,1
2019,70,Dry,Fine with high winds,Rural,Serious,2
2019,70,Dry,Fine with high winds,Urban,Serious,2
2020,70,Dry,Fine with high winds,Rural,Serious,2
2020,70,Dry,Fine with high winds,Urban,Serious,2
